"Source:","/home/matze/Projects/Hardware/PongTarget/pcb/controller/controller.kicad_sch"
"Date:","2025-12-06T14:23:39+0100"
"Tool:","Eeschema 9.0.5"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","53"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1","1","22u","C","Capacitor_SMD:C_1206_3216Metric","Unpolarized capacitor","",""
"C2, C3","2","4.7u","C","Capacitor_SMD:C_1206_3216Metric","Unpolarized capacitor","",""
"C4, C5","2","10n","C","Capacitor_SMD:C_1206_3216Metric","Unpolarized capacitor","",""
"C6","1","2.2n","C","Capacitor_SMD:C_1206_3216Metric","Unpolarized capacitor","",""
"C7","1","22p","C","Capacitor_SMD:C_1206_3216Metric","Unpolarized capacitor","",""
"C8, C9","2","47u","C","Capacitor_SMD:C_1206_3216Metric","Unpolarized capacitor","",""
"C10","1","0.1u","C","Capacitor_SMD:C_1206_3216Metric","Unpolarized capacitor","",""
"C11","1","10u","C","Capacitor_SMD:C_1206_3216Metric","Unpolarized capacitor","",""
"C12","1","22n","C","Capacitor_SMD:C_1206_3216Metric","Unpolarized capacitor","",""
"D1","1","SS54","D_Schottky","","Schottky diode","",""
"D2","1","LED","LED","","Light emitting diode","",""
"D3","1","PWR_FLT","LED","","Light emitting diode","",""
"J1","1","Conn_01x06","Conn_01x06","Connector_Wire:SolderWire-1sqmm_1x06_P7.8mm_D1.4mm_OD3.9mm","Generic connector, single row, 01x06, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"J2","1","Pogo_01x06_male","Pogo_01x06_male","","Generic connector, single row, 01x06, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"J3","1","G-Switch GT-USB-7010ASV","USB_C_Receptacle_USB2.0_16P","Connector_USB:USB_C_Receptacle_G-Switch_GT-USB-7010ASV","USB 2.0-only 16P Type-C Receptacle connector","",""
"J4","1","2.4 OLED","Conn_01x04_Socket","","Generic connector, single row, 01x04, script generated","",""
"J5","1","0.96 OLED","Conn_01x04_Socket","","Generic connector, single row, 01x04, script generated","",""
"L1","1","4.7u","L","","Inductor","",""
"Q1, Q2","2","BSS138","BSS138","Package_TO_SOT_SMD:SOT-23","50V Vds, 0.22A Id, N-Channel MOSFET, SOT-23","",""
"R1","1","665k","R","Resistor_SMD:R_1206_3216Metric","Resistor","",""
"R2, R3, R4, R22","4","10k","R","Resistor_SMD:R_1206_3216Metric","Resistor","",""
"R5","1","24K","R","Resistor_SMD:R_1206_3216Metric","Resistor","",""
"R6","1","10","R","Resistor_SMD:R_1206_3216Metric","Resistor","",""
"R7","1","10K","R","Resistor_SMD:R_1206_3216Metric","Resistor","",""
"R8","1","150","R","Resistor_SMD:R_1206_3216Metric","Resistor","",""
"R9","1","130k","R","Resistor_SMD:R_1206_3216Metric","Resistor","",""
"R10","1","37.4k","R","Resistor_SMD:R_1206_3216Metric","Resistor","",""
"R11","1","51.1","R","Resistor_SMD:R_1206_3216Metric","Resistor","",""
"R12","1","10.2k","R","Resistor_SMD:R_1206_3216Metric","Resistor","",""
"R13","1","1.96k","R","Resistor_SMD:R_1206_3216Metric","Resistor","",""
"R14, R18","2","120k","R","Resistor_SMD:R_1206_3216Metric","Resistor","",""
"R15","1","6.49k","R","Resistor_SMD:R_1206_3216Metric","Resistor","",""
"R16","1","26.7k","R","Resistor_SMD:R_1206_3216Metric","Resistor","",""
"R17","1","20k","R","Resistor_SMD:R_1206_3216Metric","Resistor","",""
"R19","1","42.2k","R","Resistor_SMD:R_1206_3216Metric","Resistor","",""
"R20","1","8.66k","R","Resistor_SMD:R_1206_3216Metric","Resistor","",""
"R21","1","1.5k","R","Resistor_SMD:R_1206_3216Metric","Resistor","",""
"S1","1","PEC12R-4120F-S0012","PEC12R-4120F-S0012","PEC12R-4120F-S0012:XDCR_PEC12R-4120F-S0012","","",""
"SW1, SW2","2","B3F-4055","SW_Push","external_footprints.petty:SW_B3F-4055","Push button switch, generic, two pins","",""
"U1","1","XIAO-ESP32-C6-SMD","XIAO-ESP32-C6-SMD","","","",""
"U2","1","CH224K","CH224K","Package_SO:SSOP-10-1EP_3.9x4.9mm_P1mm_EP2.1x3.3mm_ThermalVias","100W USB Type-C PD3.0/2.0, BC1.2 Sink Controller, SSOP-10","",""
"U3","1","TPS54531DDAR","TPS54531DDAR","TPS54531DDAR:CONV_TPS54531DDAR","","",""
"U4","1","AMS1117-3.3","AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1A Low Dropout regulator, positive, 3.3V fixed output, SOT-223","",""
"U5","1","TPS25942ARVCR","TPS25942ARVCR","TPS25942ARVCR:IC_TPS25942ARVCR","","",""
