Designator,Footprint,Quantity,Value,LCSC Part #
C1,1210,1,22u,C309062
C10,1206,1,100n,C93194
C11,0805,1,10u,C3039694
C12,0805,1,22n,C1729
"C2, C3",1206,2,4.7u,C51205
"C4, C5",0805,2,10n,C83170
C6,0805,1,2.2n,C36576
C7,0603,1,22p,C2169931
"C8, C9",0805,2,47u,C16780
D1,D_SMA,1,SS54,C20609300
D2,0603,1,LED,C51933292
"D4, D5",SOT-143,2,PRTR5V0U2X,C5180302
D6,SMB_L4.4-W3.6-LS5.4-BI,1,~,C908853
D7,USON-10_L2.5-W1.0-P0.50-BL,1,~,C138714
"D8, D9",D_SMA,2,SMAJ6.0CA,C908810
FLT,0603,1,PWR_FLT,C51933292
J1,SolderWire-1sqmm_1x06_P7.8mm_D1.4mm_OD3.9mm,1,Conn_01x06,
J2,01x06 SMD 4x4mm pad,1,Pogo_01x06_male,
J3,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,G-Switch GT-USB-7010ASV,C2988369
J5,SolderWire-0.5sqmm_1x04_P4.6mm_D0.9mm_OD2.1mm,1,0.91 OLED,C5248081
L1,IND-SMD_L7.0-W6.6,1,4.7u,C5307631
LCD1,LCD-TH_4P-L72.0-W43.0-P2.54_HS242L03W2C01,1,2.42 OLED,C7466001
"Q1, Q2",SOT-23,2,BSS138,C40912
R1,0805,1,665k,C48533721
R10,0805,1,37.4k,C2999586
R11,0805,1,51.1,C2077153
R12,0805,1,10.2k,C2933282
R13,0805,1,1.96k,C2930163
"R14, R18",0805,2,120k,C17436
R15,0805,1,6.49k,C2933484
R16,0805,1,26.7k,C2999467
R17,0805,1,20k,C2907240
R19,0805,1,42.2k,C5119971
"R2, R22, R3, R4",1206,4,4.7K,C2907499
R20,0805,1,8.66k,C2933506
R21,0603,1,150,C2907103
R5,0805,1,24K,C2907246
R6,0805,1,10,C17415
R7,0805,1,10K,C84376
R8,0603,1,68,C27592
R9,0805,1,130k,C2933305
S1,XDCR_PEC12R-4120F-S0012,1,PEC12R-4120F-S0012,C143801
"SW1, SW2, SW3",SW_B3F-4055,3,B3F-4055,C36498965
U2,SSOP-10-1EP_3.9x4.9mm_P1mm_EP2.1x3.3mm_ThermalVias,1,CH224K,C970725
U3,CONV_TPS54531DDAR,1,TPS54531DDAR,C50605
U5,IC_TPS25942ARVCR,1,TPS25942ARVCR,
