Designator,Mid X,Mid Y,Rotation,Layer
C1,277.75,-151.5,270.0,top
C10,264.35,-131.7,90.0,top
C11,281.55,-150.95,270.0,top
C12,273.15,-100.95,0.0,top
C2,258.0,-136.7,90.0,top
C3,260.55,-136.7,90.0,top
C4,263.0,-137.3,90.0,top
C5,272.8,-136.3,180.0,top
C6,269.95,-128.1,0.0,top
C7,269.95,-125.9,0.0,top
C8,266.75,-110.4,0.0,top
C9,266.75,-114.91,0.0,top
D1,261.35,-127.1,180.0,top
D2,262.95,-148.6,180.0,top
D4,236.8,-93.9,270.0,top
D5,227.2,-94.1,270.0,top
D6,262.15,-151.5,180.0,top
D7,268.95,-153.7,270.0,top
D8,214.2,-93.3,180.0,top
D9,249.5,-93.3,180.0,top
FLT,271.15,-97.1,90.0,top
J2,233.6,-89.1,0.0,top
J3,268.63,-160.025,0.0,top
L1,264.35,-120.9,90.0,top
LCD1,253.5,-123.1,180.0,top
Q1,227.6,-98.3,90.0,top
Q2,234.0,-96.3,180.0,top
R1,269.55,-139.9,0.0,top
R10,273.6625,-128.1,0.0,top
R11,271.4625,-113.5,0.0,top
R12,271.4625,-116.45,180.0,top
R13,274.15,-119.5,270.0,top
R14,267.15,-107.9,0.0,top
R15,271.55,-107.9,0.0,top
R16,275.75,-107.9,0.0,top
R17,273.15,-103.05,0.0,top
R18,267.6875,-96.3,0.0,top
R19,269.65,-94.3,0.0,top
R2,224.2,-98.5,90.0,top
R20,273.4875,-94.25,0.0,top
R21,274.0,-97.0,90.0,top
R22,240.6,-94.1,270.0,top
R3,222.6,-93.7,270.0,top
R4,230.8,-96.3,270.0,top
R5,263.15,-146.9,180.0,top
R6,277.15,-156.6125,90.0,top
R7,263.15,-144.9,180.0,top
R8,263.15,-142.3,180.0,top
R9,272.95,-139.1,90.0,top
S1,191.85,-155.1,270.0,top
SW1,215.1625,-155.45,0.0,top
SW2,231.0625,-155.5,0.0,top
SW3,246.9625,-155.5,0.0,top
U1,193.34425,-90.5825,90.0,top
U2,269.1875,-145.9,90.0,top
U3,268.25,-134.25,90.0,top
U4,277.95,-144.7,270.0,top
U5,267.95,-100.8,270.0,top
