Designator,Mid X,Mid Y,Rotation,Layer
C1,47.5,-74.0,0.0,top
C6,49.0,-64.0,180.0,top
D1,67.0,-59.0,90.0,top
D19,73.0,-100.0,270.0,top
D20,49.0625,-60.0,180.0,top
D22,73.0,-80.0,90.0,top
D23,72.0,-90.0,270.0,top
F1,49.0,-81.0,90.0,top
J1,39.0,-90.0,270.0,top
J2,77.0,-90.0,270.0,top
J3,77.0,-67.0,270.0,top
J4,37.0,-67.0,270.0,top
Q1,71.5,-66.5,90.0,top
R1,75.0,-58.0,270.0,top
R2,72.0,-62.0,270.0,top
R3,57.0,-59.0,270.0,top
R4,53.0,-59.0875,270.0,top
U2,64.0,-48.0,0.0,top
U3,61.5,-74.0,90.0,top
